"LD.x","LOC_C.x","MRD.x","NOAIT_C.x","NOAM.x","NOASIT_C.x","NOAU.x","NOBU.x","NOCT.x","NODT_C.x","NODV_C.x","NOECU_C.x","NOEET.x","NOET.x","NOFS_C.x","NOIS_C.x","NOL_C.x","NOM.x","NOMM.x","NOMR_C.x","NONT.x","NOPA.x","NOPT.x","NOPV.x","NORT.x","NPM.x","Nono_C.x","ALU.x","WMC.x","WMCNAMM.x","WOC.x","MAX_CYCLO.x","MIN_CYCLO.x","MEAN_CYCLO.x","LD.y","LOC_C.y","MRD.y","NOAIT_C.y","NOAM.y","NOASIT_C.y","NOAU.y","NOBU.y","NOCT.y","NODT_C.y","NODV_C.y","NOECU_C.y","NOEET.y","NOET.y","NOFS_C.y","NOIS_C.y","NOL_C.y","NOM.y","NOMM.y","NOMR_C.y","NONT.y","NOPA.y","NOPT.y","NOPV.y","NORT.y","NPM.y","Nono_C.y","ALU.y","WMC.y","WMCNAMM.y","WOC.y","MAX_CYCLO.y","MIN_CYCLO.y","MEAN_CYCLO.y","goodTest"
0,562,0,0,5,0,0,0,0,0,43,0,0,0,0,46,0,53,0,0,0,2,0,9,0,45,7,"false",132,127,0.905660377358491,6,1,2.01098901098901,0,32,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,"false",6,6,1,2,1,1.16666666666667,0
0,251,0,0,2,0,0,0,0,0,27,0,0,0,0,10,0,40,1,0,0,3,0,5,0,36,9,"false",53,49,0.925,6,1,2.01098901098901,0,32,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,"false",6,6,1,2,1,1.16666666666667,0
0,562,0,0,5,0,0,0,0,0,43,0,0,0,0,46,0,53,0,0,0,2,0,9,0,45,7,"false",132,127,0.905660377358491,6,1,2.01098901098901,0,25,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"false",1,1,1,2,1,1.16666666666667,0
0,251,0,0,2,0,0,0,0,0,27,0,0,0,0,10,0,40,1,0,0,3,0,5,0,36,9,"false",53,49,0.925,6,1,2.01098901098901,0,25,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"false",1,1,1,2,1,1.16666666666667,0
0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,"false",6,6,1,3,1,1.75,0,16,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,"false",1,1,1,1,1,1,1
0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,"false",6,6,1,3,1,1.75,0,17,0,3,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,"false",1,1,1,1,1,1,1
0,254,0,0,0,0,0,0,0,0,40,0,0,0,0,17,0,19,7,0,0,0,0,8,0,17,11,"false",48,41,0.631578947368421,11,1,2.70588235294118,0,207,0,13,12,0,0,1,4,0,23,0,0,0,0,0,0,26,0,0,0,2,0,10,0,26,8,"false",28,16,0.538461538461538,2,1,1.4,0
0,122,0,0,2,0,0,0,0,0,23,0,0,0,0,10,0,11,1,0,0,1,0,4,0,7,1,"false",22,19,0.727272727272727,4,1,2,0,66,0,1,0,0,0,1,1,0,15,0,0,0,1,2,0,3,0,0,0,0,0,3,0,2,6,"false",6,6,1,3,1,2,0
0,66,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,6,0,0,0,0,0,0,0,6,1,"false",14,14,1,4,1,2.14285714285714,0,17,0,3,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,"false",1,1,1,1,1,1,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"false",0,0,NA,NA,NA,NA,0,23,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,"false",3,3,1,1,1,1,0
