Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,TFU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,Api,"fetchContent(String)",,private,true,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,Api,"",,public,false,false,,,,,,,,,,,0.0,50,,,,0.0,0,0,0,0,0,,0,0,25,0,0,0,3,0,0,,4,0,0,,0,0,0,2,0,1,3,,false,7,7,1.0
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,Api,"main(String[])",,public,true,false,,,,,,,2,,,,,,15,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,Api,"findNextProjects(String, String)",,private,true,false,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,Api,"print(String, String)",,private,true,false,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,TestApi,"build711Url(int)",,private,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,TestApi,"build720Url(int)",,private,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,Item,"setAvg2(double)",TestApi,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,Item,"setId(int)",TestApi,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/cat/cat-home/src/test/java/com/dianping/cat,com.dianping.cat,TestApi,"test()",,public,false,false,,,,,,,3,,,,,,20,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
