Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,ALU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testDescribe(),,public,false,false,,,,,,,3,,,,,,20,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,tearDown(),,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,,,public,false,false,,,,,,,,,,,0,690,,,,0,194,1,0,0,0,,0,0,80,0,0,0,1,0,0,,35,0,0,,0,0,0,0,0,32,99,,false,73,72,0.971428571428571
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,suite(),,public,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testGetSimpleProperty(),,public,false,false,,,,,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertyInteger(),,public,false,false,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertyDouble(),,public,false,false,,,,,,,1,,,,,,14,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,"checkIntArray(int[], int[])",,protected,false,false,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,createDynaClass(),,protected,true,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testSetPropertyNull(),,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertyNestedMappedMap(),,public,false,false,,,,,,,1,,,,,,12,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCopyPropertyByte(),,public,false,false,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testGetGeneralProperty(),,public,false,false,,,,,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testSetPropertyNullValues(),,public,false,false,,,,,,,1,,,,,,21,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testCloneDynaBean(),,public,false,false,,,,,,,3,,,,,,49,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
