Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,ALU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,get(),,public,false,false,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,testToString(),,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,getBytes(),,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,,,public,false,false,,,,,,,,,,,0,100,,,,0,34,0,0,0,0,,9,0,4,0,0,0,0,0,0,,9,0,0,,0,0,0,3,0,9,12,,false,13,13,1
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,testHashCode(),,public,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,testEquals(),,public,false,false,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,charsetName(),,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,errors(),,public,false,false,,,,,,,5,,,,,,22,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,constantCharsetNames(),,public,false,false,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ByteOrderMarkTestCase,testLength(),,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,DemuxTestCase,getInput(String),,private,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ReaderThread,getData(),DemuxTestCase,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,DemuxTestCase,testInputStream(),,public,false,false,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,DemuxTestCase,"startReader(String, String, DemuxInputStream)",,private,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ReaderThread,run(),DemuxTestCase,public,false,false,,,,,,,3,,,,,,14,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,DemuxTestCase,doStart(),,private,false,false,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,DemuxTestCase,testOutputStream(),,public,false,false,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,WriterThread,run(),DemuxTestCase,public,false,false,,,,,,,3,,,,,,12,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,WriterThread,"WriterThread(String, String, OutputStream, DemuxOutputStream)",DemuxTestCase,,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,DemuxTestCase,doJoin(),,private,false,false,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,DemuxTestCase,"startWriter(String, String, DemuxOutputStream)",,private,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,ReaderThread,"ReaderThread(String, InputStream, DemuxInputStream)",DemuxTestCase,,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,DemuxTestCase,getOutput(String),,private,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,DemuxTestCase,,,public,false,false,,,,,,,,,,,0,158,,,,0,10,1,0,0,0,,2,0,33,0,0,0,0,0,0,,11,0,0,,0,0,0,17,0,5,10,,false,17,16,0.909090909090909
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,FileCleaningTrackerTestCase,,,public,false,false,,,,,,,,,,,0,258,,,,0,64,2,0,1,1,,9,0,20,0,0,0,1,4,0,,16,0,0,,0,1,0,2,0,11,28,,false,31,29,0.875
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,FileCleaningTrackerTestCase,newInstance(),,protected,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,FileCleaningTrackerTestCase,testFileCleanerExitWhenFinished_NoTrackAfter(),,public,false,false,,,,,,,2,,,,,,15,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,FileCleaningTrackerTestCase,testFileCleanerDirectory_ForceStrategy(),,public,false,false,,,,,,,2,,,,,,20,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,FileCleaningTrackerTestCase,testFileCleanerDirectory_NullStrategy(),,public,false,false,,,,,,,1,,,,,,14,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,FileCleaningTrackerTestCase,tearDown(),,public,false,false,,,,,,,2,,,,,,12,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-io/src/test/java/org/apache/commons/io,org.apache.commons.io,FileCleaningTrackerTestCase,testFileCleanerDirectory(),,public,false,false,,,,,,,1,,,,,,14,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
