Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,TFU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3,org.apache.commons.lang3,NotImplementedExceptionTest,"testConstructors()",,public,false,false,,,,,,,1,,,,,,17,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3,org.apache.commons.lang3,NotImplementedExceptionTest,"",,public,false,false,,,,,,,,,,,0.0,28,,,,0.0,10,0,0,0,0,,1,0,4,0,0,0,0,0,0,,2,0,0,,0,0,0,0,0,1,7,,false,2,2,1.0
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3,org.apache.commons.lang3,NotImplementedExceptionTest,"assertCorrect(String, NotImplementedException, String, Throwable, String)",,private,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,NotVisibleExceptionFactory,"NotVisibleExceptionFactory()",,private,false,false,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,NotVisibleExceptionFactory,"createException(Throwable)",,public,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,NotVisibleExceptionFactory,"",,public,false,false,,,,,,,,,,,0.0,25,,,,0.0,0,2,0,0,0,,0,0,2,0,0,0,0,0,0,,2,0,0,,0,0,0,2,0,2,1,,false,2,0,0.0
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,NotVisibleException,"getCause()",NotVisibleExceptionFactory,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,NotVisibleException,"NotVisibleException(Throwable)",NotVisibleExceptionFactory,private,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitchTest,"classTearDown()",,public,true,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitchTest,"",,public,false,false,,,,,,,,,,,0.0,60,,,,0.0,4,0,0,0,0,,4,0,6,0,0,0,0,2,0,,6,0,0,,0,1,0,4,0,6,2,,false,8,8,1.0
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitchTest,"testUseDifferentTimeZone()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitchTest,"testUseDifferentLocale()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitchTest,"testDefaultLocaleNoAnnotation()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitchTest,"testDefaultTimeZoneNoAnnotation()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitchTest,"classSetUp()",,public,true,false,,,,,,,3,,,,,,17,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitch,"applyTimeZone(SystemDefaults, Statement)",,private,false,false,,,,,,,2,,,,,,19,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitch,"",,public,false,false,,,,,,,,,,,0.0,51,,,,0.0,0,0,0,0,0,,0,0,5,0,0,0,0,3,0,,5,0,0,,0,0,0,0,0,3,2,,false,8,8,1.0
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitch,"apply(Statement, Description)",,public,false,false,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,,"evaluate()",,public,false,false,,,,,,,1,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/test,org.apache.commons.lang3.test,SystemDefaultsSwitch,"applyLocale(SystemDefaults, Statement)",,private,false,false,,,,,,,2,,,,,,19,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,AbstractExceptionTest,"generateCause()",,protected,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,AbstractExceptionTest,"",,public,false,false,,,,,,,,,,,0.0,14,,,,0.0,0,1,0,0,0,,0,0,4,0,0,0,0,0,0,,1,0,0,,0,0,0,0,0,0,1,,false,1,0,0.0
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"testRemoveCommonFrames_ListList()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"",,public,false,false,,,,,,,,,,,0.0,526,,,,0.0,160,2,0,1,1,,34,0,39,0,1,0,0,2,0,,43,1,0,,0,0,0,11,0,39,34,,false,60,57,0.9302325581395349
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"createExceptionWithCause()",,private,false,false,,,,,,,3,,,,,,11,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"testWrapAndUnwrapError()",,public,false,false,,,,,,,2,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"throwsCheckedException()",,private,true,false,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,NestableException,"NestableException()",ExceptionUtilsTest,,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"testPrintRootCauseStackTrace_Throwable()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"testGetThrowables_Throwable_withCause()",,public,false,false,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionWithCause,"setCause(Throwable)",ExceptionUtilsTest,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"redeclareCheckedException()",,private,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,NestableException,"NestableException(Throwable)",ExceptionUtilsTest,,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"testGetCause_Throwable()",,public,false,false,,,,,,,1,,,,,,11,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionUtilsTest,"testGetThrowables_Throwable_nested()",,public,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-lang/src/test/java/org/apache/commons/lang3/exception,org.apache.commons.lang3.exception,ExceptionWithCause,"getCause()",ExceptionUtilsTest,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
