Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,TFU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,LineItem,"getName()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,LineItem,"getPriceInMicros()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,LineItem,"getQuantity()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,LineItem,"LineItem(String, int, long, String)",,public,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,LineItem,"",,public,false,false,,,,,,,,,,,0.0,38,,,,0.0,0,4,0,0,0,,0,0,4,0,0,0,0,0,0,,5,0,0,,0,0,0,4,0,5,0,,false,5,1,0.2
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,LineItem,"getCurrencyCode()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,LineItem,"toString()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,Cart,"getSimpleTypeName(Type)",,public,true,false,,,,,,,7,,,,,,26,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,Cart,"",,public,false,false,,,,,,,,,,,0.0,78,,,,0.0,0,3,0,0,0,,0,0,11,0,0,0,0,7,0,,5,0,0,,0,1,0,2,0,5,2,,false,16,13,0.4
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,Cart,"toString()",,public,false,false,,,,,,,6,,,,,,21,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,Cart,"getCreditCard()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,Cart,"getLineItems()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,Cart,"Cart(List, String, String)",,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android/model,com.google.gson.examples.android.model,Cart,"getBuyerName()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android,com.google.gson.examples.android,GsonProguardExampleActivity,"onCreate(Bundle)",,public,false,false,,,,,,,1,,,,,,17,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android,com.google.gson.examples.android,GsonProguardExampleActivity,"buildCart()",,private,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/examples/android-proguard-example/src/com/google/gson/examples/android,com.google.gson.examples.android,GsonProguardExampleActivity,"",,public,false,false,,,,,,,,,,,0.0,27,,,,0.0,0,0,0,0,0,,0,0,6,0,0,0,0,0,0,,2,0,0,,0,0,0,0,0,1,5,,false,2,2,1.0
/home/mich/Desktop/projects/gson/codegen/src/test/java/com/google/gson/codegen/functional,com.google.gson.codegen.functional,Order,"getAmount()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/codegen/src/test/java/com/google/gson/codegen/functional,com.google.gson.codegen.functional,Order,"",,,false,true,,,,,,,,,,,0.0,20,,,,0.0,0,2,0,0,0,,0,0,2,0,0,0,0,0,0,,2,0,0,,0,0,0,2,0,2,0,,false,2,0,0.0
/home/mich/Desktop/projects/gson/codegen/src/test/java/com/google/gson/codegen/functional,com.google.gson.codegen.functional,Order,"Order(String, int)",,public,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/codegen/src/test/java/com/google/gson/codegen/functional,com.google.gson.codegen.functional,Order,"getItemName()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/codegen/src/test/java/com/google/gson/codegen/functional,com.google.gson.codegen.functional,CodeGenFunctionalTest,"",,public,false,false,,,,,,,,,,,0.0,6,,,,0.0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,,1,0,0,,0,0,0,0,0,1,1,,false,1,1,1.0
/home/mich/Desktop/projects/gson/codegen/src/test/java/com/google/gson/codegen/functional,com.google.gson.codegen.functional,CodeGenFunctionalTest,"testGeneratedJson()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/gson/codegen/src/main/java/com/google/gson/codegen,com.google.gson.codegen,GeneratedTypeAdapterProcessor,"writeAdapter(TypeElement)",,private,false,false,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
