Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,TFU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,Main,"main(String[])",,public,true,false,,,,,,,2,,,,,,16,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,,"configure()",,protected,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,Main,"",,public,false,false,,,,,,,,,,,0.0,19,,,,0.0,0,0,0,0,0,,0,0,3,0,0,0,0,1,0,,2,0,0,,0,0,0,0,0,1,3,,false,3,3,1.0
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,Property,"setOn(Object)",XmlBeanModule,,false,false,,,,,,,3,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,XmlBeanModule,"",,public,false,false,,,,,,,,,,,0.0,173,,,,0.0,0,1,0,0,0,,0,0,27,0,0,0,0,7,0,,10,1,0,,0,0,0,0,0,5,12,,false,26,23,0.8
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,Property,"Property(Method, Provider)",XmlBeanModule,,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,XmlBeanModule,"capitalize(String)",,,true,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,XmlBeanModule,"XmlBeanModule(URL)",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,XmlBeanModule,"configure(Binder)",,public,false,false,,,,,,,2,,,,,,15,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,BeanProvider,"BeanProvider(Class, List)",XmlBeanModule,,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,BeanBuilder,"build()",XmlBeanModule,,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,XmlBeanModule,"xmlSource()",,,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,BeanBuilder,"BeanBuilder(Class)",XmlBeanModule,,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,PropertyListener,"start(Attributes)",XmlBeanModule,public,false,false,,,,,,,7,,,,,,31,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,BeanListener,"start(Attributes)",XmlBeanModule,public,false,false,,,,,,,4,,,,,,22,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/guice/examples/src/example/xml,example.xml,BeanProvider,"get()",XmlBeanModule,public,false,false,,,,,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
