Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,TFU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,IntervalDataItem,"IntervalDataItem(Number, Number, Number)",,public,false,false,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,IntervalDataItem,"getValue()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,IntervalDataItem,"getUpperBound()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,IntervalDataItem,"getLowerBound()",,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,IntervalDataItem,"",,public,false,false,,,,,,,,,,,0.0,26,,,,0.0,0,3,0,0,0,,0,0,3,0,0,0,0,0,0,,3,0,0,,0,0,0,3,0,3,0,,false,3,0,0.0
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,DefaultKeyedValues2DDatasetTest,"testSerialization()",,public,false,false,,,,,,,1,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,DefaultKeyedValues2DDatasetTest,"testCloning()",,public,false,false,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,DefaultKeyedValues2DDatasetTest,"",,public,false,false,,,,,,,,,,,0.0,25,,,,0.0,4,0,0,0,0,,2,0,4,0,0,0,0,0,0,,2,0,0,,0,0,0,0,0,2,7,,false,2,2,1.0
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,DefaultHeatMapDatasetTest,"testCloning()",,public,false,false,,,,,,,1,,,,,,15,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/jfreechart/src/test/java/org/jfree/data/general,org.jfree.data.general,DefaultHeatMapDatasetTest,"testGeneral()",,public,false,false,,,,,,,1,,,,,,17,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
