Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ALU,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestOptionalBean,"test_optional_full()",,public,false,false,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestOptionalBean,"test_optional_property()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestOptionalBean,"",,public,false,false,false,,,,,,,,,,,0.0,32,,,,0.0,14,0,0,0,0,,3,0,4,0,0,0,0,0,0,,3,0,0,,0,0,0,0,0,3,0,,3,3,1.0
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestOptionalBean,"test_optional_empty()",,public,false,false,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestCoverage,"setUp()",,public,false,false,,,,,,,,1,,,,,,44,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestCoverage,"test_coverage()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestCoverage,"",,public,false,false,false,,,,,,,,,,,0.0,57,,,,0.0,0,0,0,0,1,,1,0,2,0,0,0,0,0,0,,2,0,0,,0,0,0,2,0,2,12,,2,2,1.0
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_map()",,public,false,false,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"setUp()",,public,false,false,,,,,,,,1,,,,,,44,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_oneField()",,public,false,false,,,,,,,,2,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_oneField_doubleArray_withinToleranceUp()",,public,false,false,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_oneField_doubleArray_withinToleranceDown()",,public,false,false,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_oneField_double_withinToleranceUp()",,public,false,false,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_twoFields()",,public,false,false,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_bug_embedded()",,public,false,false,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_oneField_doubleArray_notInTolerance()",,public,false,false,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_oneField_double_notInTolerance()",,public,false,false,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_sizes()",,public,false,false,,,,,,,,2,,,,,,12,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_bean_oneField_double()",,public,false,false,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_equal()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans/test,org.joda.beans.test,TestBeanAssert,"test_beanFullDetail_twoFields()",,public,false,false,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
