Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,ALU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,FileEntry,FileEntry(),DirectoryListingTest,,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,DirectoryListingTest,getLastModified(Node),,private,false,false,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,FileEntry,"FileEntry(String, String, long, List)",DirectoryListingTest,,false,false,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,DirectoryListingTest,removeDirectory(File),,private,false,false,,,,,,,4,,,,,,11,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,FileEntry,"FileEntry(String, String, long, int)",DirectoryListingTest,,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,DirectoryListingTest,getFilename(Node),,private,false,false,,,,,,,2,,,,,,15,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,DirectoryListingTest,setUp(),,public,false,false,,,,,,,2,,,,,,14,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,DirectoryListingTest,getHref(Node),,private,false,false,,,,,,,1,,,,,,9,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,DirectoryListingTest,validateEntry(Element),,private,false,false,,,,,,,4,,,,,,20,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,FileEntry,create(),DirectoryListingTest,private,false,false,,,,,,,5,,,,,,23,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,DirectoryListingTest,getSize(Node),,private,false,false,,,,,,,3,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,DirectoryListingTest,,,public,false,false,,,,,,,,,,,0,208,,,,0,22,0,0,1,1,,1,0,41,0,0,0,2,12,0,,11,0,0,,0,0,0,5,0,4,13,,false,30,30,1
/home/mich/Desktop/projects/opengrok/opengrok-web/src/test/java/org/opengrok/web,org.opengrok.web,FileEntry,"FileEntry(String, String, long, int, List)",DirectoryListingTest,private,false,false,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
